transaction_id,bank_reference_id,settlement_batch_id,amount,currency,received_at,processed_at,bank_status,bank_response_code,bank_response_message,settlement_date
TXN1045,BNK-201045,BATCH-322,210.25,USD,2026-08-01T16:35:07.697Z,2026-08-01T17:05:47.697Z,SETTLED,00,Approved,2026-08-01
TXN1046,BNK-201046,BATCH-322,1202.75,EUR,2026-08-01T09:51:04.435Z,2026-08-01T10:18:38.435Z,SETTLED,00,Approved,2026-08-01
TXN1047,BNK-201047,BATCH-322,2145.75,INR,2026-08-01T10:10:26.686Z,2026-08-01T10:34:35.686Z,SETTLED,00,Approved,2026-08-01
TXN1048,BNK-201048,BATCH-322,1237.00,USD,2026-08-01T09:44:51.916Z,2026-08-01T10:09:02.916Z,SETTLED,00,Approved,2026-08-01
TXN1049,BNK-201049,BATCH-322,1479.00,EUR,2026-08-01T11:52:25.518Z,2026-08-01T12:23:48.518Z,SETTLED,00,Approved,2026-08-01
TXN1050,BNK-201050,BATCH-322,1072.00,INR,2026-08-01T14:59:52.529Z,2026-08-01T15:34:24.529Z,SETTLED,00,Approved,2026-08-01
TXN1051,BNK-201051,BATCH-323,614.50,USD,2026-08-02T15:31:24.505Z,2026-08-02T15:53:46.505Z,SETTLED,00,Approved,2026-08-02
TXN1052,BNK-201052,BATCH-323,706.25,EUR,2026-08-02T15:42:29.841Z,2026-08-02T16:11:07.841Z,SETTLED,00,Approved,2026-08-02
TXN1053,BNK-201053,BATCH-323,1949.75,INR,2026-08-02T16:50:21.200Z,2026-08-02T17:17:27.200Z,SETTLED,00,Approved,2026-08-02
TXN1054,BNK-201054,BATCH-323,141.00,USD,2026-08-02T14:35:40.915Z,2026-08-02T14:57:10.915Z,SETTLED,00,Approved,2026-08-02
TXN1055,BNK-201055,BATCH-323,683.75,EUR,2026-08-02T08:51:08.644Z,2026-08-04T08:51:08.644Z,SETTLED,00,Approved - delayed settlement batch,2026-08-04
TXN1056,BNK-201056,BATCH-323,750.75,INR,2026-08-02T09:17:20.303Z,2026-08-02T09:38:48.303Z,SETTLED,00,Approved,2026-08-02
TXN1057,BNK-201057,BATCH-323,1209.50,USD,2026-08-02T16:05:50.607Z,2026-08-02T16:25:51.607Z,SETTLED,00,Approved,2026-08-02
TXN1059,BNK-201059,BATCH-323,796.75,INR,2026-08-02T08:44:01.089Z,2026-08-02T09:05:57.089Z,SETTLED,00,Approved,2026-08-02
TXN1060,BNK-201060,BATCH-323,1122.75,USD,2026-08-02T10:56:23.660Z,2026-08-02T11:21:03.660Z,SETTLED,00,Approved,2026-08-02
TXN1061,BNK-201061,BATCH-324,1398.00,EUR,2026-08-02T16:51:14.565Z,2026-08-02T17:18:19.565Z,SETTLED,00,Approved,2026-08-02
TXN1062,BNK-201062,BATCH-324,2223.75,INR,2026-08-02T11:12:53.531Z,2026-08-02T11:45:49.531Z,SETTLED,00,Approved,2026-08-02
TXN1063,BNK-201063,BATCH-324,1799.25,USD,2026-08-02T12:10:24.105Z,2026-08-02T12:41:23.105Z,SETTLED,00,Approved,2026-08-02
TXN1064,BNK-201064,BATCH-324,725.75,EUR,2026-08-02T14:02:09.599Z,2026-08-02T14:27:06.599Z,SETTLED,00,Approved,2026-08-02
TXN1065,BNK-201065,BATCH-324,2000.25,INR,2026-08-02T11:17:23.312Z,2026-08-02T11:51:00.312Z,SETTLED,00,Approved,2026-08-02
TXN1066,BNK-201066,BATCH-324,1426.50,USD,2026-08-02T16:09:48.011Z,2026-08-02T16:40:32.011Z,SETTLED,00,Approved,2026-08-02
TXN1067,BNK-201067,BATCH-324,2002.25,EUR,2026-08-02T16:25:32.985Z,2026-08-02T16:50:32.985Z,SETTLED,00,Approved,2026-08-02
TXN1068,BNK-201068,BATCH-324,891.00,INR,2026-08-02T15:56:24.723Z,2026-08-04T15:56:24.723Z,SETTLED,00,Approved - delayed settlement batch,2026-08-04
TXN1069,BNK-201069,BATCH-324,558.00,USD,2026-08-02T08:51:59.314Z,2026-08-02T09:20:34.314Z,SETTLED,00,Approved,2026-08-02
TXN1070,BNK-201070,BATCH-324,1617.00,EUR,2026-08-02T08:44:31.474Z,2026-08-02T09:15:25.474Z,SETTLED,00,Approved,2026-08-02
TXN1071,BNK-201071,BATCH-325,226.00,INR,2026-08-02T12:56:49.053Z,2026-08-02T13:29:43.053Z,SETTLED,00,Approved,2026-08-02
TXN1072,BNK-201072,BATCH-325,1785.75,USD,2026-08-02T17:15:16.522Z,2026-08-02T17:38:37.522Z,SETTLED,00,Approved,2026-08-02
TXN1073,BNK-201073,BATCH-325,2094.25,EUR,2026-08-02T13:03:50.801Z,2026-08-02T13:24:48.801Z,SETTLED,00,Approved,2026-08-02
TXN1074,BNK-201074,BATCH-325,1753.75,INR,2026-08-02T08:32:00.594Z,2026-08-02T09:01:32.594Z,SETTLED,00,Approved,2026-08-02
TXN1075,BNK-201075,BATCH-325,1362.25,USD,2026-08-02T16:08:47.448Z,2026-08-02T16:31:34.448Z,SETTLED,00,Approved,2026-08-02
TXN1076,BNK-201076,BATCH-325,1521.50,EUR,2026-08-02T12:49:07.402Z,2026-08-02T13:23:35.402Z,SETTLED,00,Approved,2026-08-02
TXN1077,BNK-201077,BATCH-325,430.25,INR,2026-08-02T11:51:19.206Z,2026-08-02T12:14:40.206Z,SETTLED,00,Approved,2026-08-02
TXN1079,BNK-201079,BATCH-325,1843.25,EUR,2026-08-02T17:34:47.606Z,2026-08-02T18:08:34.606Z,SETTLED,00,Approved,2026-08-02
TXN1080,BNK-201080,BATCH-325,2147.00,INR,2026-08-02T13:03:04.617Z,2026-08-02T13:32:47.617Z,SETTLED,00,Approved,2026-08-02
TXN1081,BNK-201081,BATCH-326,2400.25,USD,2026-08-03T09:34:13.538Z,2026-08-03T09:59:32.538Z,SETTLED,00,Approved,2026-08-03
TXN1082,BNK-201082,BATCH-326,804.75,EUR,2026-08-03T16:54:29.521Z,2026-08-05T16:54:29.521Z,SETTLED,00,Approved - delayed settlement batch,2026-08-05
TXN1084,BNK-201084,BATCH-326,1723.00,USD,2026-08-03T12:44:39.758Z,2026-08-05T12:44:39.758Z,SETTLED,00,Approved - delayed settlement batch,2026-08-05
TXN1085,BNK-201085,BATCH-326,1427.25,EUR,2026-08-03T13:02:35.470Z,2026-08-03T13:24:43.470Z,SETTLED,00,Approved,2026-08-03
TXN1086,BNK-201086,BATCH-326,342.75,INR,2026-08-03T08:14:46.284Z,2026-08-03T08:42:29.284Z,SETTLED,00,Approved,2026-08-03
TXN1087,BNK-201087,BATCH-326,406.75,USD,2026-08-03T12:08:03.330Z,2026-08-03T12:33:32.330Z,SETTLED,00,Approved,2026-08-03
TXN1089,BNK-201089,BATCH-326,2269.00,INR,2026-08-03T12:28:46.080Z,2026-08-03T12:53:10.080Z,SETTLED,00,Approved,2026-08-03
TXN1090,BNK-201090,BATCH-326,1400.25,USD,2026-08-03T14:13:43.031Z,2026-08-03T14:35:02.031Z,SETTLED,00,Approved,2026-08-03
TXN1091,BNK-201091,BATCH-327,2282.25,EUR,2026-08-03T13:53:01.040Z,2026-08-03T14:22:13.040Z,SETTLED,00,Approved,2026-08-03
TXN1092,BNK-201092,BATCH-327,713.50,INR,2026-08-03T14:41:21.178Z,,PENDING,05,Settlement in progress,
TXN1093,BNK-201093,BATCH-327,706.50,USD,2026-08-03T11:09:28.825Z,2026-08-03T11:34:25.825Z,SETTLED,00,Approved,2026-08-03
TXN1094,BNK-201094,BATCH-327,654.50,EUR,2026-08-03T08:27:37.207Z,2026-08-03T08:59:36.207Z,SETTLED,00,Approved,2026-08-03
TXN1095,BNK-201095,BATCH-327,552.50,INR,2026-08-03T08:31:08.007Z,2026-08-03T08:54:50.007Z,SETTLED,00,Approved,2026-08-03
TXN1096,BNK-201096,BATCH-327,999.25,USD,2026-08-03T08:52:35.925Z,2026-08-03T09:26:27.925Z,SETTLED,00,Approved,2026-08-03
TXN1097,BNK-201097,BATCH-327,197.75,EUR,2026-08-03T13:27:38.324Z,2026-08-03T13:48:51.324Z,SETTLED,00,Approved,2026-08-03
TXN1098,BNK-201098,BATCH-327,1145.00,INR,2026-08-03T15:35:31.857Z,2026-08-03T16:10:01.857Z,SETTLED,00,Approved,2026-08-03
TXN1099,BNK-201099,BATCH-327,2043.75,USD,2026-08-03T09:49:59.764Z,2026-08-03T10:22:27.764Z,SETTLED,00,Approved,2026-08-03
TXN1100,BNK-201100,BATCH-327,1091.75,EUR,2026-08-03T17:33:37.889Z,2026-08-03T18:07:30.889Z,SETTLED,00,Approved,2026-08-03
TXN1101,BNK-201101,BATCH-328,1289.75,INR,2026-08-03T16:37:10.408Z,2026-08-03T17:04:39.408Z,SETTLED,00,Approved,2026-08-03
TXN1102,BNK-201102,BATCH-328,837.50,USD,2026-08-03T11:42:22.279Z,2026-08-03T12:14:23.279Z,SETTLED,00,Approved,2026-08-03
TXN1103,BNK-201103,BATCH-328,335.50,EUR,2026-08-03T12:42:43.514Z,2026-08-03T13:03:57.514Z,SETTLED,00,Approved,2026-08-03
TXN1104,BNK-201104,BATCH-328,382.00,INR,2026-08-03T14:06:19.684Z,2026-08-03T14:35:13.684Z,SETTLED,00,Approved,2026-08-03
TXN1105,BNK-201105,BATCH-328,1580.25,USD,2026-08-03T12:46:41.051Z,2026-08-03T13:15:26.051Z,SETTLED,00,Approved,2026-08-03
TXN1106,BNK-201106,BATCH-328,2128.50,EUR,2026-08-03T16:26:56.443Z,2026-08-05T16:26:56.443Z,SETTLED,00,Approved - delayed settlement batch,2026-08-05
TXN1107,BNK-201107,BATCH-328,532.75,INR,2026-08-03T09:54:47.778Z,2026-08-03T10:15:55.778Z,SETTLED,00,Approved,2026-08-03
TXN1109,BNK-201109,BATCH-328,2252.25,EUR,2026-08-03T14:50:00.489Z,2026-08-03T15:23:40.489Z,SETTLED,00,Approved,2026-08-03
TXN1111,BNK-201111,BATCH-329,784.75,USD,2026-08-04T15:51:19.553Z,2026-08-04T16:16:19.553Z,REJECTED,14,Bank account frozen or invalid routing,
TXN1112,BNK-201112,BATCH-329,1517.50,EUR,2026-08-04T10:26:02.947Z,2026-08-04T10:53:24.947Z,SETTLED,00,Approved,2026-08-04
TXN1113,BNK-201113,BATCH-329,576.50,INR,2026-08-04T11:22:52.685Z,2026-08-04T11:55:03.685Z,SETTLED,00,Approved,2026-08-04
TXN1114,BNK-201114,BATCH-329,1985.00,USD,2026-08-04T17:40:51.561Z,,PENDING,05,Settlement in progress,
TXN1115,BNK-201115,BATCH-329,1830.75,EUR,2026-08-04T17:46:25.681Z,2026-08-04T18:20:55.681Z,SETTLED,00,Approved,2026-08-04
TXN1116,BNK-201116,BATCH-329,756.25,INR,2026-08-04T09:34:52.388Z,2026-08-04T10:03:21.388Z,SETTLED,00,Approved,2026-08-04
TXN1117,BNK-201117,BATCH-329,2031.00,USD,2026-08-04T13:35:33.695Z,2026-08-04T13:57:42.695Z,SETTLED,00,Approved,2026-08-04
TXN1118,BNK-201118,BATCH-329,1457.00,EUR,2026-08-04T18:06:19.564Z,2026-08-04T18:40:34.564Z,SETTLED,00,Approved,2026-08-04
TXN1119,BNK-201119,BATCH-329,2033.00,INR,2026-08-04T10:51:36.912Z,2026-08-04T11:15:09.912Z,SETTLED,00,Approved,2026-08-04
TXN1120,BNK-201120,BATCH-329,1958.75,USD,2026-08-04T08:10:13.615Z,2026-08-04T08:34:00.615Z,SETTLED,00,Approved,2026-08-04
TXN1121,BNK-201121,BATCH-330,1834.00,EUR,2026-08-04T13:18:13.638Z,2026-08-04T13:41:55.638Z,SETTLED,00,Approved,2026-08-04
TXN1122,BNK-201122,BATCH-330,2260.50,INR,2026-08-04T09:08:09.691Z,2026-08-04T09:35:12.691Z,SETTLED,00,Approved,2026-08-04
TXN1123,BNK-201123,BATCH-330,1435.75,USD,2026-08-04T08:13:39.457Z,2026-08-04T08:36:15.457Z,SETTLED,00,Approved,2026-08-04
TXN1124,BNK-201124,BATCH-330,2361.00,EUR,2026-08-04T10:52:54.490Z,2026-08-04T11:21:58.490Z,SETTLED,00,Approved,2026-08-04
TXN1125,BNK-201125,BATCH-330,837.50,INR,2026-08-04T08:18:05.265Z,2026-08-04T08:38:19.265Z,SETTLED,00,Approved,2026-08-04
TXN1126,BNK-201126,BATCH-330,2262.50,USD,2026-08-04T11:25:12.493Z,2026-08-04T11:55:03.493Z,SETTLED,00,Approved,2026-08-04
TXN1127,BNK-201127,BATCH-330,38.25,EUR,2026-08-04T08:10:31.702Z,2026-08-04T08:42:09.702Z,SETTLED,00,Approved,2026-08-04
TXN1128,BNK-201128,BATCH-330,1964.00,INR,2026-08-04T16:45:46.797Z,2026-08-04T17:10:46.797Z,REJECTED,14,Bank account frozen or invalid routing,
TXN1129,BNK-201129,BATCH-330,753.00,USD,2026-08-04T17:46:35.186Z,2026-08-04T18:20:31.186Z,SETTLED,00,Approved,2026-08-04
TXN1130,BNK-201130,BATCH-330,795.00,EUR,2026-08-04T17:05:13.253Z,,PENDING,05,Settlement in progress,
TXN1131,BNK-201131,BATCH-331,929.50,INR,2026-08-04T12:10:42.679Z,2026-08-04T12:31:53.679Z,SETTLED,00,Approved,2026-08-04
TXN1132,BNK-201132,BATCH-331,2088.00,USD,2026-08-04T11:55:55.877Z,2026-08-04T12:20:02.877Z,SETTLED,00,Approved,2026-08-04
TXN1133,BNK-201133,BATCH-331,1997.25,EUR,2026-08-04T15:26:26.775Z,2026-08-04T16:00:41.775Z,SETTLED,00,Approved,2026-08-04
TXN1134,BNK-201134,BATCH-331,1256.50,INR,2026-08-04T11:20:59.431Z,2026-08-04T11:46:18.431Z,SETTLED,00,Approved,2026-08-04
TXN1135,BNK-201135,BATCH-331,465.00,USD,2026-08-04T13:41:54.324Z,2026-08-04T14:12:58.324Z,SETTLED,00,Approved,2026-08-04
TXN1136,BNK-201136,BATCH-331,224.75,EUR,2026-08-04T15:32:12.782Z,2026-08-04T15:57:27.782Z,SETTLED,00,Approved,2026-08-04
TXN1137,BNK-201137,BATCH-331,1133.50,INR,2026-08-04T14:24:39.008Z,2026-08-04T14:51:17.008Z,SETTLED,00,Approved,2026-08-04
TXN1138,BNK-201138,BATCH-331,1392.25,USD,2026-08-04T10:00:05.328Z,2026-08-04T10:24:01.328Z,SETTLED,00,Approved,2026-08-04
TXN1139,BNK-201139,BATCH-331,1601.00,EUR,2026-08-04T17:14:58.465Z,2026-08-04T17:35:54.465Z,SETTLED,00,Approved,2026-08-04
TXN1140,BNK-201140,BATCH-331,2360.50,INR,2026-08-04T14:30:23.986Z,2026-08-04T14:51:46.986Z,SETTLED,00,Approved,2026-08-04
TXN1141,BNK-201141,BATCH-332,1869.50,USD,2026-08-05T12:29:43.917Z,2026-08-05T12:58:43.917Z,SETTLED,00,Approved,2026-08-05
TXN1142,BNK-201142,BATCH-332,728.75,EUR,2026-08-05T09:31:42.121Z,2026-08-05T10:04:16.121Z,SETTLED,00,Approved,2026-08-05
TXN1143,BNK-201143,BATCH-332,1937.00,INR,2026-08-05T11:36:26.510Z,2026-08-05T11:57:15.510Z,SETTLED,00,Approved,2026-08-05
TXN1144,BNK-201144,BATCH-332,1296.75,USD,2026-08-05T15:16:29.329Z,2026-08-05T15:43:59.329Z,SETTLED,00,Approved,2026-08-05
TXN1145,BNK-201145,BATCH-332,1805.25,EUR,2026-08-05T10:47:20.528Z,2026-08-05T11:13:43.528Z,SETTLED,00,Approved,2026-08-05
TXN1146,BNK-201146,BATCH-332,1664.75,INR,2026-08-05T09:29:25.970Z,2026-08-07T09:29:25.970Z,SETTLED,00,Approved - delayed settlement batch,2026-08-07
TXN1147,BNK-201147,BATCH-332,2275.75,USD,2026-08-05T10:54:29.634Z,2026-08-05T11:23:18.634Z,SETTLED,00,Approved,2026-08-05
TXN1148,BNK-201148,BATCH-332,251.50,EUR,2026-08-05T09:08:13.969Z,2026-08-05T09:40:04.969Z,SETTLED,00,Approved,2026-08-05
TXN1149,BNK-201149,BATCH-332,2377.25,INR,2026-08-05T16:23:07.654Z,2026-08-05T16:53:57.654Z,SETTLED,00,Approved,2026-08-05
TXN1150,BNK-201150,BATCH-332,2052.25,USD,2026-08-05T09:53:10.800Z,2026-08-05T10:22:40.800Z,SETTLED,00,Approved,2026-08-05
TXN1151,BNK-201151,BATCH-333,2278.75,EUR,2026-08-05T08:06:59.301Z,2026-08-05T08:38:35.301Z,SETTLED,00,Approved,2026-08-05
TXN1152,BNK-201152,BATCH-333,1254.00,INR,2026-08-05T12:09:03.452Z,2026-08-05T12:34:57.452Z,SETTLED,00,Approved,2026-08-05
TXN1153,BNK-201153,BATCH-333,1979.25,USD,2026-08-05T16:53:51.229Z,2026-08-07T16:53:51.229Z,SETTLED,00,Approved - delayed settlement batch,2026-08-07
TXN1154,BNK-201154,BATCH-333,2368.00,EUR,2026-08-05T10:48:55.627Z,2026-08-05T11:19:37.627Z,SETTLED,00,Approved,2026-08-05
TXN1155,BNK-201155,BATCH-333,1211.50,INR,2026-08-05T12:04:04.489Z,2026-08-05T12:29:04.489Z,REJECTED,14,Bank account frozen or invalid routing,
TXN1156,BNK-201156,BATCH-333,545.50,USD,2026-08-05T10:10:25.559Z,2026-08-05T10:30:52.559Z,SETTLED,00,Approved,2026-08-05
TXN1157,BNK-201157,BATCH-333,504.50,EUR,2026-08-05T14:59:30.392Z,2026-08-05T15:30:23.392Z,SETTLED,00,Approved,2026-08-05
TXN1158,BNK-201158,BATCH-333,1613.25,INR,2026-08-05T14:07:14.149Z,2026-08-05T14:40:45.149Z,SETTLED,00,Approved,2026-08-05
TXN1160,BNK-201160,BATCH-333,2283.75,EUR,2026-08-05T11:21:35.726Z,2026-08-05T11:46:35.726Z,REJECTED,14,Bank account frozen or invalid routing,
TXN1161,BNK-201161,BATCH-334,72.50,INR,2026-08-05T16:33:13.493Z,2026-08-05T16:53:44.493Z,SETTLED,00,Approved,2026-08-05
TXN1162,BNK-201162,BATCH-334,1615.75,USD,2026-08-05T13:29:21.791Z,2026-08-05T13:50:12.791Z,SETTLED,00,Approved,2026-08-05
TXN1163,BNK-201163,BATCH-334,1307.25,EUR,2026-08-05T17:06:43.821Z,2026-08-05T17:31:20.821Z,SETTLED,00,Approved,2026-08-05
TXN1164,BNK-201164,BATCH-334,2149.50,INR,2026-08-05T09:22:09.434Z,2026-08-05T09:47:09.434Z,REJECTED,14,Bank account frozen or invalid routing,
TXN1165,BNK-201165,BATCH-334,1216.25,USD,2026-08-05T13:38:40.543Z,2026-08-05T13:58:52.543Z,SETTLED,00,Approved,2026-08-05
TXN1166,BNK-201166,BATCH-334,775.00,EUR,2026-08-05T09:45:41.113Z,2026-08-05T10:13:50.113Z,SETTLED,00,Approved,2026-08-05
TXN1167,BNK-201167,BATCH-334,1484.75,INR,2026-08-05T13:02:32.385Z,2026-08-05T13:30:48.385Z,SETTLED,00,Approved,2026-08-05
TXN1168,BNK-201168,BATCH-334,1543.25,USD,2026-08-05T10:59:14.427Z,2026-08-05T11:23:34.427Z,SETTLED,00,Approved,2026-08-05
TXN1169,BNK-201169,BATCH-334,1552.00,EUR,2026-08-05T15:03:08.740Z,2026-08-05T15:23:13.740Z,SETTLED,00,Approved,2026-08-05
TXN1170,BNK-201170,BATCH-334,2111.25,INR,2026-08-05T10:41:54.762Z,2026-08-05T11:06:54.762Z,REJECTED,14,Bank account frozen or invalid routing,
TXN1171,BNK-201171,BATCH-335,1990.25,USD,2026-08-06T10:26:58.745Z,2026-08-06T10:54:16.745Z,SETTLED,00,Approved,2026-08-06
TXN1172,BNK-201172,BATCH-335,1865.50,EUR,2026-08-06T14:32:29.596Z,2026-08-06T14:59:42.596Z,SETTLED,00,Approved,2026-08-06
TXN1173,BNK-201173,BATCH-335,2291.00,INR,2026-08-06T09:05:36.622Z,,PENDING,05,Settlement in progress,
TXN1174,BNK-201174,BATCH-335,2080.50,USD,2026-08-06T08:17:01.387Z,2026-08-06T08:43:24.387Z,SETTLED,00,Approved,2026-08-06
TXN1175,BNK-201175,BATCH-335,1822.00,EUR,2026-08-06T10:52:36.338Z,2026-08-06T11:23:04.338Z,SETTLED,00,Approved,2026-08-06
TXN1176,BNK-201176,BATCH-335,2115.75,INR,2026-08-06T14:25:23.081Z,2026-08-06T14:48:23.081Z,SETTLED,00,Approved,2026-08-06
TXN1177,BNK-201177,BATCH-335,1157.25,USD,2026-08-06T09:48:14.799Z,2026-08-06T10:10:56.799Z,SETTLED,00,Approved,2026-08-06
TXN1178,BNK-201178,BATCH-335,1949.75,EUR,2026-08-06T16:50:44.435Z,2026-08-06T17:24:05.435Z,SETTLED,00,Approved,2026-08-06
TXN1179,BNK-201179,BATCH-335,292.75,INR,2026-08-06T08:21:02.799Z,2026-08-06T08:49:43.799Z,SETTLED,00,Approved,2026-08-06
TXN1180,BNK-201180,BATCH-335,1584.00,USD,2026-08-06T16:51:29.525Z,,PENDING,05,Settlement in progress,
TXN1181,BNK-201181,BATCH-336,1951.50,EUR,2026-08-06T15:09:06.752Z,2026-08-08T15:09:06.752Z,SETTLED,00,Approved - delayed settlement batch,2026-08-08
TXN1182,BNK-201182,BATCH-336,1496.75,INR,2026-08-06T13:35:24.435Z,2026-08-08T13:35:24.435Z,SETTLED,00,Approved - delayed settlement batch,2026-08-08
TXN1183,BNK-201183,BATCH-336,1019.75,USD,2026-08-06T14:19:55.158Z,2026-08-06T14:40:14.158Z,SETTLED,00,Approved,2026-08-06
