transaction_id,gateway_payment_id,merchant_id,amount,currency,created_at,authorized_at,captured_at,gateway_status,payment_method,failure_code,failure_message
TXN1028,GP-101028,MERCH-529,1136.50,EUR,2026-08-01T15:22:12.732Z,2026-08-01T15:22:25.732Z,2026-08-01T15:22:57.732Z,CAPTURED,google_pay,,
TXN1029,GP-101029,MERCH-530,1134.25,INR,2026-08-01T14:35:51.406Z,2026-08-01T14:36:03.406Z,2026-08-01T14:36:13.406Z,CAPTURED,credit_card,,
TXN1030,GP-101030,MERCH-531,481.00,USD,2026-08-01T09:53:57.264Z,2026-08-01T09:54:07.264Z,2026-08-01T09:54:32.264Z,CAPTURED,bank_transfer,,
TXN1031,GP-101031,MERCH-532,2179.00,EUR,2026-08-01T09:20:54.501Z,2026-08-01T09:21:06.501Z,2026-08-01T09:21:29.501Z,CAPTURED,google_pay,,
TXN1032,GP-101032,MERCH-533,2027.25,INR,2026-08-01T17:49:14.921Z,2026-08-01T17:49:21.921Z,2026-08-01T17:49:35.921Z,CAPTURED,credit_card,,
TXN1033,GP-101033,MERCH-534,625.50,USD,2026-08-01T08:24:11.439Z,,,AUTHORIZATION_FAILED,bank_transfer,EXPIRED_CARD,Card expired
TXN1034,GP-101034,MERCH-535,1762.50,EUR,2026-08-01T17:39:11.180Z,2026-08-01T17:39:28.180Z,2026-08-01T17:39:41.180Z,CAPTURED,apple_pay,,
TXN1035,GP-101035,MERCH-536,271.00,INR,2026-08-01T12:00:44.788Z,2026-08-01T12:00:55.788Z,2026-08-01T12:01:24.788Z,CAPTURED,debit_card,,
TXN1036,GP-101036,MERCH-537,530.75,USD,2026-08-01T10:12:49.614Z,2026-08-01T10:12:54.614Z,2026-08-01T10:13:15.614Z,CAPTURED,debit_card,,
TXN1037,GP-101037,MERCH-538,2208.50,EUR,2026-08-01T14:45:11.739Z,2026-08-01T14:45:16.739Z,2026-08-01T14:45:39.739Z,CAPTURED,apple_pay,,
TXN1038,GP-101038,MERCH-539,584.50,INR,2026-08-01T09:00:06.886Z,2026-08-01T09:00:19.886Z,2026-08-01T09:00:36.886Z,CAPTURED,google_pay,,
TXN1039,GP-101039,MERCH-540,406.25,USD,2026-08-01T12:32:30.354Z,2026-08-01T12:32:44.354Z,2026-08-01T12:32:57.354Z,CAPTURED,debit_card,,
TXN1040,GP-101040,MERCH-541,2298.75,EUR,2026-08-01T10:41:26.766Z,2026-08-01T10:41:37.766Z,2026-08-01T10:41:53.766Z,CAPTURED,google_pay,,
TXN1041,GP-101041,MERCH-542,541.00,INR,2026-08-01T15:50:39.991Z,2026-08-01T15:50:58.991Z,2026-08-01T15:51:16.991Z,CAPTURED,bank_transfer,,
TXN1042,GP-101042,MERCH-543,533.25,USD,2026-08-01T09:07:53.857Z,2026-08-01T09:08:04.857Z,2026-08-01T09:08:31.857Z,CAPTURED,google_pay,,
TXN1043,GP-101043,MERCH-544,475.50,EUR,2026-08-01T10:17:46.936Z,2026-08-01T10:17:53.936Z,2026-08-01T10:18:14.936Z,CAPTURED,google_pay,,
TXN1044,GP-101044,MERCH-545,968.50,INR,2026-08-01T15:22:29.099Z,2026-08-01T15:22:39.099Z,2026-08-01T15:23:15.099Z,CAPTURED,apple_pay,,
TXN1045,GP-101045,MERCH-546,210.25,USD,2026-08-01T16:25:04.697Z,2026-08-01T16:25:13.697Z,2026-08-01T16:25:34.697Z,CAPTURED,google_pay,,
TXN1046,GP-101046,MERCH-547,1202.75,EUR,2026-08-01T09:45:23.435Z,2026-08-01T09:45:31.435Z,2026-08-01T09:45:44.435Z,CAPTURED,apple_pay,,
TXN1047,GP-101047,MERCH-548,2145.75,INR,2026-08-01T10:00:11.686Z,2026-08-01T10:00:21.686Z,2026-08-01T10:00:40.686Z,CAPTURED,credit_card,,
TXN1048,GP-101048,MERCH-549,1237.00,USD,2026-08-01T09:35:24.916Z,2026-08-01T09:35:29.916Z,2026-08-01T09:35:46.916Z,CAPTURED,debit_card,,
TXN1049,GP-101049,MERCH-550,1479.00,EUR,2026-08-01T11:42:28.518Z,2026-08-01T11:42:38.518Z,2026-08-01T11:42:52.518Z,CAPTURED,google_pay,,
TXN1050,GP-101050,MERCH-501,1072.00,INR,2026-08-01T14:51:53.529Z,2026-08-01T14:52:08.529Z,2026-08-01T14:52:27.529Z,CAPTURED,credit_card,,
TXN1051,GP-101051,MERCH-502,614.50,USD,2026-08-02T15:21:42.505Z,2026-08-02T15:21:51.505Z,2026-08-02T15:22:28.505Z,CAPTURED,google_pay,,
TXN1052,GP-101052,MERCH-503,706.25,EUR,2026-08-02T15:36:41.841Z,2026-08-02T15:36:50.841Z,2026-08-02T15:37:08.841Z,CAPTURED,apple_pay,,
TXN1053,GP-101053,MERCH-504,1949.75,INR,2026-08-02T16:41:54.200Z,2026-08-02T16:42:00.200Z,2026-08-02T16:42:27.200Z,CAPTURED,apple_pay,,
TXN1054,GP-101054,MERCH-505,141.00,USD,2026-08-02T14:27:18.915Z,2026-08-02T14:27:35.915Z,2026-08-02T14:27:49.915Z,CAPTURED,credit_card,,
TXN1055,GP-101055,MERCH-506,683.75,EUR,2026-08-02T08:40:36.644Z,2026-08-02T08:40:53.644Z,2026-08-02T08:41:08.644Z,CAPTURED,bank_transfer,,
TXN1056,GP-101056,MERCH-507,750.75,INR,2026-08-02T09:08:02.303Z,2026-08-02T09:08:11.303Z,2026-08-02T09:08:42.303Z,CAPTURED,bank_transfer,,
TXN1057,GP-101057,MERCH-508,1209.50,USD,2026-08-02T15:56:46.607Z,2026-08-02T15:57:05.607Z,2026-08-02T15:57:31.607Z,CAPTURED,bank_transfer,,
TXN1058,GP-101058,MERCH-509,1618.50,EUR,2026-08-02T17:08:15.080Z,2026-08-02T17:08:33.080Z,2026-08-02T17:09:08.080Z,CAPTURED,debit_card,,
TXN1059,GP-101059,MERCH-510,796.75,INR,2026-08-02T08:37:57.089Z,2026-08-02T08:38:06.089Z,2026-08-02T08:38:42.089Z,CAPTURED,credit_card,,
TXN1060,GP-101060,MERCH-511,1122.75,USD,2026-08-02T10:45:43.660Z,2026-08-02T10:46:02.660Z,2026-08-02T10:46:41.660Z,CAPTURED,google_pay,,
TXN1061,GP-101061,MERCH-512,1398.00,EUR,2026-08-02T16:42:45.565Z,2026-08-02T16:43:02.565Z,2026-08-02T16:43:29.565Z,CAPTURED,debit_card,,
TXN1062,GP-101062,MERCH-513,2223.75,INR,2026-08-02T11:06:28.531Z,2026-08-02T11:06:35.531Z,2026-08-02T11:07:12.531Z,CAPTURED,apple_pay,,
TXN1063,GP-101063,MERCH-514,1799.25,USD,2026-08-02T12:00:13.105Z,2026-08-02T12:00:22.105Z,2026-08-02T12:00:38.105Z,CAPTURED,debit_card,,
TXN1064,GP-101064,MERCH-515,725.75,EUR,2026-08-02T13:55:14.599Z,2026-08-02T13:55:23.599Z,2026-08-02T13:55:55.599Z,CAPTURED,bank_transfer,,
TXN1065,GP-101065,MERCH-516,2000.25,INR,2026-08-02T11:10:15.312Z,2026-08-02T11:10:29.312Z,2026-08-02T11:11:01.312Z,CAPTURED,debit_card,,
TXN1066,GP-101066,MERCH-517,1426.50,USD,2026-08-02T16:02:51.011Z,2026-08-02T16:03:01.011Z,2026-08-02T16:03:25.011Z,CAPTURED,debit_card,,
TXN1067,GP-101067,MERCH-518,2002.25,EUR,2026-08-02T16:14:58.985Z,2026-08-02T16:15:16.985Z,2026-08-02T16:15:32.985Z,CAPTURED,debit_card,,
TXN1068,GP-101068,MERCH-519,891.00,INR,2026-08-02T15:46:02.723Z,2026-08-02T15:46:14.723Z,2026-08-02T15:46:24.723Z,CAPTURED,credit_card,,
TXN1069,GP-101069,MERCH-520,558.00,USD,2026-08-02T08:46:04.314Z,2026-08-02T08:46:20.314Z,2026-08-02T08:46:40.314Z,CAPTURED,google_pay,,
TXN1070,GP-101070,MERCH-521,1617.00,EUR,2026-08-02T08:37:38.474Z,2026-08-02T08:37:54.474Z,2026-08-02T08:38:16.474Z,CAPTURED,debit_card,,
TXN1071,GP-101071,MERCH-522,226.00,INR,2026-08-02T12:50:03.053Z,2026-08-02T12:50:21.053Z,2026-08-02T12:51:00.053Z,CAPTURED,debit_card,,
TXN1072,GP-101072,MERCH-523,1785.75,USD,2026-08-02T17:09:29.522Z,2026-08-02T17:09:42.522Z,2026-08-02T17:10:00.522Z,CAPTURED,debit_card,,
TXN1073,GP-101073,MERCH-524,2094.25,EUR,2026-08-02T12:57:12.801Z,2026-08-02T12:57:31.801Z,2026-08-02T12:57:57.801Z,CAPTURED,apple_pay,,
TXN1074,GP-101074,MERCH-525,1753.75,INR,2026-08-02T08:22:47.594Z,2026-08-02T08:22:56.594Z,2026-08-02T08:23:07.594Z,CAPTURED,bank_transfer,,
TXN1075,GP-101075,MERCH-526,1362.25,USD,2026-08-02T16:02:46.448Z,2026-08-02T16:03:04.448Z,2026-08-02T16:03:15.448Z,CAPTURED,google_pay,,
TXN1076,GP-101076,MERCH-527,1521.50,EUR,2026-08-02T12:41:11.402Z,2026-08-02T12:41:30.402Z,2026-08-02T12:42:02.402Z,CAPTURED,bank_transfer,,
TXN1077,GP-101077,MERCH-528,430.25,INR,2026-08-02T11:40:53.206Z,2026-08-02T11:41:09.206Z,2026-08-02T11:41:32.206Z,CAPTURED,credit_card,,
TXN1078,GP-101078,MERCH-529,1089.00,USD,2026-08-02T08:26:46.596Z,,,AUTHORIZATION_FAILED,debit_card,SUSPECTED_FRAUD,High risk score detected by fraud rules
TXN1079,GP-101079,MERCH-530,1843.25,EUR,2026-08-02T17:27:45.606Z,2026-08-02T17:27:53.606Z,2026-08-02T17:28:25.606Z,CAPTURED,bank_transfer,,
TXN1080,GP-101080,MERCH-531,2147.00,INR,2026-08-02T12:53:42.617Z,2026-08-02T12:53:49.617Z,2026-08-02T12:54:01.617Z,CAPTURED,credit_card,,
TXN1081,GP-101081,MERCH-532,2400.25,USD,2026-08-03T09:28:05.538Z,2026-08-03T09:28:15.538Z,2026-08-03T09:28:51.538Z,CAPTURED,debit_card,,
TXN1082,GP-101082,MERCH-533,804.75,EUR,2026-08-03T16:44:02.521Z,2026-08-03T16:44:07.521Z,2026-08-03T16:44:29.521Z,CAPTURED,bank_transfer,,
TXN1083,GP-101083,MERCH-534,1112.75,INR,2026-08-03T16:29:14.579Z,,,AUTHORIZATION_FAILED,google_pay,AUTH_DECLINED,Card issuer declined the transaction
TXN1084,GP-101084,MERCH-535,1723.00,USD,2026-08-03T12:34:06.758Z,2026-08-03T12:34:14.758Z,2026-08-03T12:34:39.758Z,CAPTURED,apple_pay,,
TXN1085,GP-101085,MERCH-536,1427.25,EUR,2026-08-03T12:52:31.470Z,2026-08-03T12:52:46.470Z,2026-08-03T12:53:20.470Z,CAPTURED,apple_pay,,
TXN1086,GP-101086,MERCH-537,342.75,INR,2026-08-03T08:04:12.284Z,2026-08-03T08:04:30.284Z,2026-08-03T08:04:53.284Z,CAPTURED,debit_card,,
TXN1087,GP-101087,MERCH-538,406.75,USD,2026-08-03T12:00:56.330Z,2026-08-03T12:01:13.330Z,2026-08-03T12:01:25.330Z,CAPTURED,google_pay,,
TXN1088,GP-101088,MERCH-539,2221.75,EUR,2026-08-03T17:17:59.910Z,2026-08-03T17:18:15.910Z,2026-08-03T17:18:52.910Z,CAPTURED,credit_card,,
TXN1089,GP-101089,MERCH-540,2269.00,INR,2026-08-03T12:19:46.080Z,2026-08-03T12:19:53.080Z,2026-08-03T12:20:31.080Z,CAPTURED,credit_card,,
TXN1090,GP-101090,MERCH-541,1400.25,USD,2026-08-03T14:04:59.031Z,2026-08-03T14:05:14.031Z,2026-08-03T14:05:39.031Z,CAPTURED,credit_card,,
TXN1091,GP-101091,MERCH-542,2282.25,EUR,2026-08-03T13:47:18.040Z,2026-08-03T13:47:26.040Z,2026-08-03T13:47:44.040Z,CAPTURED,apple_pay,,
TXN1092,GP-101092,MERCH-543,713.50,INR,2026-08-03T14:25:50.178Z,2026-08-03T14:25:55.178Z,2026-08-03T14:26:21.178Z,CAPTURED,google_pay,,
TXN1093,GP-101093,MERCH-544,706.50,USD,2026-08-03T10:59:49.825Z,2026-08-03T10:59:57.825Z,2026-08-03T11:00:10.825Z,CAPTURED,google_pay,,
TXN1094,GP-101094,MERCH-545,654.50,EUR,2026-08-03T08:17:17.207Z,2026-08-03T08:17:27.207Z,2026-08-03T08:18:02.207Z,CAPTURED,apple_pay,,
TXN1095,GP-101095,MERCH-546,552.50,INR,2026-08-03T08:22:11.007Z,2026-08-03T08:22:27.007Z,2026-08-03T08:22:38.007Z,CAPTURED,credit_card,,
TXN1096,GP-101096,MERCH-547,999.25,USD,2026-08-03T08:44:52.925Z,2026-08-03T08:45:06.925Z,2026-08-03T08:45:16.925Z,CAPTURED,apple_pay,,
TXN1097,GP-101097,MERCH-548,197.75,EUR,2026-08-03T13:19:37.324Z,2026-08-03T13:19:45.324Z,2026-08-03T13:20:22.324Z,CAPTURED,debit_card,,
TXN1098,GP-101098,MERCH-549,1145.00,INR,2026-08-03T15:25:25.857Z,2026-08-03T15:25:41.857Z,2026-08-03T15:25:53.857Z,CAPTURED,bank_transfer,,
TXN1099,GP-101099,MERCH-550,2043.75,USD,2026-08-03T09:43:37.764Z,2026-08-03T09:43:50.764Z,2026-08-03T09:44:21.764Z,CAPTURED,bank_transfer,,
TXN1100,GP-101100,MERCH-501,1091.75,EUR,2026-08-03T17:26:37.889Z,2026-08-03T17:26:54.889Z,2026-08-03T17:27:05.889Z,CAPTURED,debit_card,,
TXN1101,GP-101101,MERCH-502,1289.75,INR,2026-08-03T16:27:58.408Z,2026-08-03T16:28:15.408Z,2026-08-03T16:28:36.408Z,CAPTURED,bank_transfer,,
TXN1102,GP-101102,MERCH-503,837.50,USD,2026-08-03T11:33:26.279Z,2026-08-03T11:33:43.279Z,2026-08-03T11:34:21.279Z,CAPTURED,credit_card,,
TXN1103,GP-101103,MERCH-504,335.50,EUR,2026-08-03T12:36:22.514Z,2026-08-03T12:36:27.514Z,2026-08-03T12:36:37.514Z,CAPTURED,bank_transfer,,
TXN1104,GP-101104,MERCH-505,382.00,INR,2026-08-03T13:56:25.684Z,2026-08-03T13:56:41.684Z,2026-08-03T13:57:14.684Z,CAPTURED,google_pay,,
TXN1105,GP-101105,MERCH-506,1580.25,USD,2026-08-03T12:37:56.051Z,2026-08-03T12:38:03.051Z,2026-08-03T12:38:29.051Z,CAPTURED,debit_card,,
TXN1106,GP-101106,MERCH-507,2128.50,EUR,2026-08-03T16:16:18.443Z,2026-08-03T16:16:31.443Z,2026-08-03T16:16:56.443Z,CAPTURED,bank_transfer,,
TXN1107,GP-101107,MERCH-508,532.75,INR,2026-08-03T09:48:44.778Z,2026-08-03T09:49:03.778Z,2026-08-03T09:49:22.778Z,CAPTURED,debit_card,,
TXN1108,GP-101108,MERCH-509,797.00,USD,2026-08-03T14:08:16.653Z,,,AUTHORIZATION_FAILED,credit_card,EXPIRED_CARD,Card expired
TXN1109,GP-101109,MERCH-510,2252.25,EUR,2026-08-03T14:42:35.489Z,2026-08-03T14:42:40.489Z,2026-08-03T14:43:17.489Z,CAPTURED,google_pay,,
TXN1110,GP-101110,MERCH-511,828.25,INR,2026-08-03T16:18:33.221Z,2026-08-03T16:18:48.221Z,2026-08-03T16:19:21.221Z,CAPTURED,debit_card,,
TXN1111,GP-101111,MERCH-512,784.75,USD,2026-08-04T15:40:43.553Z,2026-08-04T15:40:59.553Z,2026-08-04T15:41:19.553Z,CAPTURED,credit_card,,
TXN1112,GP-101112,MERCH-513,1517.50,EUR,2026-08-04T10:19:30.947Z,2026-08-04T10:19:42.947Z,2026-08-04T10:20:06.947Z,CAPTURED,credit_card,,
TXN1113,GP-101113,MERCH-514,576.50,INR,2026-08-04T11:14:26.685Z,2026-08-04T11:14:39.685Z,2026-08-04T11:15:11.685Z,CAPTURED,bank_transfer,,
TXN1114,GP-101114,MERCH-515,1985.00,USD,2026-08-04T17:25:09.561Z,2026-08-04T17:25:27.561Z,2026-08-04T17:25:51.561Z,CAPTURED,google_pay,,
TXN1115,GP-101115,MERCH-516,1830.75,EUR,2026-08-04T17:37:49.681Z,2026-08-04T17:38:03.681Z,2026-08-04T17:38:16.681Z,CAPTURED,bank_transfer,,
TXN1116,GP-101116,MERCH-517,756.25,INR,2026-08-04T09:24:30.388Z,2026-08-04T09:24:45.388Z,2026-08-04T09:25:14.388Z,CAPTURED,apple_pay,,
TXN1117,GP-101117,MERCH-518,2031.00,USD,2026-08-04T13:25:00.695Z,2026-08-04T13:25:19.695Z,2026-08-04T13:25:48.695Z,CAPTURED,bank_transfer,,
TXN1118,GP-101118,MERCH-519,1457.00,EUR,2026-08-04T17:55:55.564Z,2026-08-04T17:56:11.564Z,2026-08-04T17:56:32.564Z,CAPTURED,debit_card,,
TXN1119,GP-101119,MERCH-520,2033.00,INR,2026-08-04T10:45:19.912Z,2026-08-04T10:45:27.912Z,2026-08-04T10:45:40.912Z,CAPTURED,bank_transfer,,
TXN1120,GP-101120,MERCH-521,1958.75,USD,2026-08-04T08:00:17.615Z,2026-08-04T08:00:32.615Z,2026-08-04T08:00:43.615Z,CAPTURED,google_pay,,
TXN1121,GP-101121,MERCH-522,1834.00,EUR,2026-08-04T13:10:56.638Z,2026-08-04T13:11:07.638Z,2026-08-04T13:11:31.638Z,CAPTURED,debit_card,,
TXN1122,GP-101122,MERCH-523,2260.50,INR,2026-08-04T08:58:39.691Z,2026-08-04T08:58:52.691Z,2026-08-04T08:59:20.691Z,CAPTURED,bank_transfer,,
TXN1123,GP-101123,MERCH-524,1435.75,USD,2026-08-04T08:05:52.457Z,2026-08-04T08:06:04.457Z,2026-08-04T08:06:36.457Z,CAPTURED,credit_card,,
TXN1124,GP-101124,MERCH-525,2361.00,EUR,2026-08-04T10:44:48.490Z,2026-08-04T10:44:59.490Z,2026-08-04T10:45:12.490Z,CAPTURED,google_pay,,
TXN1125,GP-101125,MERCH-526,837.50,INR,2026-08-04T08:10:15.265Z,2026-08-04T08:10:27.265Z,2026-08-04T08:11:06.265Z,CAPTURED,apple_pay,,
TXN1126,GP-101126,MERCH-527,2262.50,USD,2026-08-04T11:18:29.493Z,2026-08-04T11:18:35.493Z,2026-08-04T11:19:01.493Z,CAPTURED,debit_card,,
TXN1127,GP-101127,MERCH-528,38.25,EUR,2026-08-04T08:03:38.702Z,2026-08-04T08:03:49.702Z,2026-08-04T08:04:01.702Z,CAPTURED,debit_card,,
TXN1128,GP-101128,MERCH-529,1964.00,INR,2026-08-04T16:34:54.797Z,2026-08-04T16:35:10.797Z,2026-08-04T16:35:46.797Z,CAPTURED,apple_pay,,
TXN1129,GP-101129,MERCH-530,753.00,USD,2026-08-04T17:37:54.186Z,2026-08-04T17:38:11.186Z,2026-08-04T17:38:39.186Z,CAPTURED,google_pay,,
TXN1130,GP-101130,MERCH-531,795.00,EUR,2026-08-04T16:49:44.253Z,2026-08-04T16:49:50.253Z,2026-08-04T16:50:13.253Z,CAPTURED,debit_card,,
TXN1131,GP-101131,MERCH-532,929.50,INR,2026-08-04T12:04:49.679Z,2026-08-04T12:05:03.679Z,2026-08-04T12:05:22.679Z,CAPTURED,credit_card,,
TXN1132,GP-101132,MERCH-533,2088.00,USD,2026-08-04T11:46:28.877Z,2026-08-04T11:46:34.877Z,2026-08-04T11:46:57.877Z,CAPTURED,google_pay,,
TXN1133,GP-101133,MERCH-534,1997.25,EUR,2026-08-04T15:17:07.775Z,2026-08-04T15:17:16.775Z,2026-08-04T15:17:42.775Z,CAPTURED,credit_card,,
TXN1134,GP-101134,MERCH-535,1256.50,INR,2026-08-04T11:14:17.431Z,2026-08-04T11:14:29.431Z,2026-08-04T11:15:05.431Z,CAPTURED,apple_pay,,
TXN1135,GP-101135,MERCH-536,465.00,USD,2026-08-04T13:34:20.324Z,2026-08-04T13:34:39.324Z,2026-08-04T13:35:10.324Z,CAPTURED,credit_card,,
TXN1136,GP-101136,MERCH-537,224.75,EUR,2026-08-04T15:24:12.782Z,2026-08-04T15:24:29.782Z,2026-08-04T15:24:46.782Z,CAPTURED,debit_card,,
TXN1137,GP-101137,MERCH-538,1133.50,INR,2026-08-04T14:14:36.008Z,2026-08-04T14:14:48.008Z,2026-08-04T14:15:21.008Z,CAPTURED,google_pay,,
TXN1138,GP-101138,MERCH-539,1392.25,USD,2026-08-04T09:51:01.328Z,2026-08-04T09:51:07.328Z,2026-08-04T09:51:32.328Z,CAPTURED,google_pay,,
TXN1139,GP-101139,MERCH-540,1601.00,EUR,2026-08-04T17:07:40.465Z,2026-08-04T17:07:59.465Z,2026-08-04T17:08:31.465Z,CAPTURED,apple_pay,,
TXN1140,GP-101140,MERCH-541,2360.50,INR,2026-08-04T14:20:29.986Z,2026-08-04T14:20:37.986Z,2026-08-04T14:21:08.986Z,CAPTURED,bank_transfer,,
TXN1141,GP-101141,MERCH-542,1869.50,USD,2026-08-05T12:20:53.917Z,2026-08-05T12:21:02.917Z,2026-08-05T12:21:31.917Z,CAPTURED,bank_transfer,,
TXN1142,GP-101142,MERCH-543,728.75,EUR,2026-08-05T09:21:26.121Z,2026-08-05T09:21:36.121Z,2026-08-05T09:22:10.121Z,CAPTURED,google_pay,,
TXN1143,GP-101143,MERCH-544,1937.00,INR,2026-08-05T11:26:17.510Z,2026-08-05T11:26:31.510Z,2026-08-05T11:26:55.510Z,CAPTURED,credit_card,,
TXN1144,GP-101144,MERCH-545,1296.75,USD,2026-08-05T15:06:20.329Z,2026-08-05T15:06:30.329Z,2026-08-05T15:07:05.329Z,CAPTURED,credit_card,,
TXN1145,GP-101145,MERCH-546,1805.25,EUR,2026-08-05T10:41:22.528Z,2026-08-05T10:41:39.528Z,2026-08-05T10:41:55.528Z,CAPTURED,bank_transfer,,
TXN1146,GP-101146,MERCH-547,1664.75,INR,2026-08-05T09:18:44.970Z,2026-08-05T09:18:52.970Z,2026-08-05T09:19:25.970Z,CAPTURED,bank_transfer,,
TXN1147,GP-101147,MERCH-548,2275.75,USD,2026-08-05T10:46:00.634Z,2026-08-05T10:46:16.634Z,2026-08-05T10:46:28.634Z,CAPTURED,bank_transfer,,
TXN1148,GP-101148,MERCH-549,251.50,EUR,2026-08-05T08:58:50.969Z,2026-08-05T08:58:57.969Z,2026-08-05T08:59:28.969Z,CAPTURED,bank_transfer,,
TXN1149,GP-101149,MERCH-550,2377.25,INR,2026-08-05T16:15:33.654Z,2026-08-05T16:15:46.654Z,2026-08-05T16:16:13.654Z,CAPTURED,credit_card,,
TXN1150,GP-101150,MERCH-501,2052.25,USD,2026-08-05T09:43:45.800Z,2026-08-05T09:43:52.800Z,2026-08-05T09:44:29.800Z,CAPTURED,debit_card,,
TXN1151,GP-101151,MERCH-502,2278.75,EUR,2026-08-05T08:00:48.301Z,2026-08-05T08:00:57.301Z,2026-08-05T08:01:36.301Z,CAPTURED,bank_transfer,,
