payment_id,order_id,merchant_id,amount_inr,currency,status,method,captured_at,fee_inr,tax_inr,error_code,error_description,risk_level
pay_demo_0001,order_demo_0001,acc_demo_002,237.0,INR,captured,card,2026-08-01 12:00:00,4.74,0.85,,,normal
pay_demo_0002,order_demo_0002,acc_demo_003,374.0,INR,captured,upi,2026-08-01 15:00:00,7.48,1.35,,,normal
pay_demo_0003,order_demo_0003,acc_demo_004,511.0,INR,captured,card,2026-08-01 18:00:00,10.22,1.84,,,normal
pay_demo_0004,order_demo_0004,acc_demo_005,648.0,INR,captured,upi,2026-08-01 21:00:00,12.96,2.33,,,normal
pay_demo_0005,order_demo_0005,acc_demo_006,785.0,INR,captured,card,2026-08-02 00:00:00,15.7,2.83,,,normal
pay_demo_0006,order_demo_0006,acc_demo_007,922.0,INR,captured,upi,2026-08-02 03:00:00,18.44,3.32,,,normal
pay_demo_0007,order_demo_0007,acc_demo_008,1059.0,INR,captured,card,2026-08-02 06:00:00,21.18,3.81,,,normal
pay_demo_0008,order_demo_0008,acc_demo_009,1196.0,INR,captured,upi,2026-08-02 09:00:00,23.92,4.31,,,normal
pay_demo_0009,order_demo_0009,acc_demo_010,1333.0,INR,captured,card,2026-08-02 12:00:00,26.66,4.8,,,normal
pay_demo_0010,order_demo_0010,acc_demo_011,1470.0,INR,captured,upi,2026-08-02 15:00:00,29.4,5.29,,,normal
pay_demo_0011,order_demo_0011,acc_demo_012,1607.0,INR,captured,card,2026-08-02 18:00:00,32.14,5.79,,,normal
pay_demo_0012,order_demo_0012,acc_demo_013,1744.0,INR,captured,upi,2026-08-02 21:00:00,34.88,6.28,,,normal
pay_demo_0013,order_demo_0013,acc_demo_014,1881.0,INR,captured,card,2026-08-03 00:00:00,37.62,6.77,,,normal
pay_demo_0014,order_demo_0014,acc_demo_015,2018.0,INR,captured,upi,2026-08-03 03:00:00,40.36,7.26,,,normal
pay_demo_0015,order_demo_0015,acc_demo_016,2155.0,INR,captured,card,2026-08-03 06:00:00,43.1,7.76,,,normal
pay_demo_0016,order_demo_0016,acc_demo_017,2292.0,INR,captured,upi,2026-08-03 09:00:00,45.84,8.25,,,normal
pay_demo_0017,order_demo_0017,acc_demo_018,2429.0,INR,captured,card,2026-08-03 12:00:00,48.58,8.74,,,normal
pay_demo_0018,order_demo_0018,acc_demo_019,2566.0,INR,captured,upi,2026-08-03 15:00:00,51.32,9.24,,,normal
pay_demo_0019,order_demo_0019,acc_demo_020,2703.0,INR,captured,card,2026-08-03 18:00:00,54.06,9.73,,,normal
pay_demo_0020,order_demo_0020,acc_demo_021,2840.0,INR,captured,upi,2026-08-03 21:00:00,56.8,10.22,,,normal
pay_demo_0021,order_demo_0021,acc_demo_022,2977.0,INR,captured,card,2026-08-04 00:00:00,59.54,10.72,,,normal
pay_demo_0022,order_demo_0022,acc_demo_023,3114.0,INR,captured,upi,2026-08-04 03:00:00,62.28,11.21,,,normal
pay_demo_0023,order_demo_0023,acc_demo_024,3251.0,INR,captured,card,2026-08-04 06:00:00,65.02,11.7,,,normal
pay_demo_0024,order_demo_0024,acc_demo_025,3388.0,INR,captured,upi,2026-08-04 09:00:00,67.76,12.2,,,normal
pay_demo_0025,order_demo_0025,acc_demo_001,3525.0,INR,captured,card,2026-08-04 12:00:00,70.5,12.69,,,normal
pay_demo_0026,order_demo_0026,acc_demo_002,3662.0,INR,captured,upi,2026-08-04 15:00:00,73.24,13.18,,,normal
pay_demo_0027,order_demo_0027,acc_demo_003,3799.0,INR,captured,card,2026-08-04 18:00:00,75.98,13.68,,,normal
pay_demo_0028,order_demo_0028,acc_demo_004,3936.0,INR,captured,upi,2026-08-04 21:00:00,78.72,14.17,,,normal
pay_demo_0029,order_demo_0029,acc_demo_005,4073.0,INR,captured,card,2026-08-05 00:00:00,81.46,14.66,,,normal
pay_demo_0030,order_demo_0030,acc_demo_006,4210.0,INR,captured,upi,2026-08-05 03:00:00,84.2,15.16,,,normal
pay_demo_0031,order_demo_0031,acc_demo_007,4347.0,INR,captured,card,2026-08-05 06:00:00,86.94,15.65,,,normal
pay_demo_0032,order_demo_0032,acc_demo_008,4484.0,INR,captured,upi,2026-08-05 09:00:00,89.68,16.14,,,normal
pay_demo_0033,order_demo_0033,acc_demo_009,4621.0,INR,captured,card,2026-08-05 12:00:00,92.42,16.64,,,normal
pay_demo_0034,order_demo_0034,acc_demo_010,4758.0,INR,captured,upi,2026-08-05 15:00:00,95.16,17.13,,,normal
pay_demo_0035,order_demo_0035,acc_demo_011,4895.0,INR,captured,card,2026-08-05 18:00:00,97.9,17.62,,,normal
pay_demo_0036,order_demo_0036,acc_demo_012,5032.0,INR,captured,upi,2026-08-05 21:00:00,100.64,18.12,,,normal
pay_demo_0037,order_demo_0037,acc_demo_013,5169.0,INR,captured,card,2026-08-06 00:00:00,103.38,18.61,,,normal
pay_demo_0038,order_demo_0038,acc_demo_014,5306.0,INR,captured,upi,2026-08-06 03:00:00,106.12,19.1,,,normal
pay_demo_0039,order_demo_0039,acc_demo_015,5443.0,INR,captured,card,2026-08-06 06:00:00,108.86,19.59,,,normal
pay_demo_0040,order_demo_0040,acc_demo_016,5580.0,INR,captured,upi,2026-08-06 09:00:00,111.6,20.09,,,normal
pay_demo_0041,order_demo_0041,acc_demo_017,5717.0,INR,captured,card,2026-08-06 12:00:00,114.34,20.58,,,normal
pay_demo_0042,order_demo_0042,acc_demo_018,5854.0,INR,captured,upi,2026-08-06 15:00:00,117.08,21.07,,,normal
pay_demo_0043,order_demo_0043,acc_demo_019,5991.0,INR,captured,card,2026-08-06 18:00:00,119.82,21.57,,,normal
pay_demo_0044,order_demo_0044,acc_demo_020,6128.0,INR,captured,upi,2026-08-06 21:00:00,122.56,22.06,,,normal
pay_demo_0045,order_demo_0045,acc_demo_021,6265.0,INR,captured,card,2026-08-07 00:00:00,125.3,22.55,,,normal
pay_demo_0046,order_demo_0046,acc_demo_022,6402.0,INR,captured,upi,2026-08-07 03:00:00,128.04,23.05,,,normal
pay_demo_0047,order_demo_0047,acc_demo_023,6539.0,INR,captured,card,2026-08-07 06:00:00,130.78,23.54,,,normal
pay_demo_0048,order_demo_0048,acc_demo_024,6676.0,INR,captured,upi,2026-08-07 09:00:00,133.52,24.03,,,normal
pay_demo_0049,order_demo_0049,acc_demo_025,6813.0,INR,captured,card,2026-08-07 12:00:00,136.26,24.53,,,normal
pay_demo_0050,order_demo_0050,acc_demo_001,6950.0,INR,captured,upi,2026-08-07 15:00:00,139.0,25.02,,,normal
pay_demo_0051,order_demo_0051,acc_demo_002,7087.0,INR,captured,card,2026-08-07 18:00:00,141.74,25.51,,,normal
pay_demo_0052,order_demo_0052,acc_demo_003,7224.0,INR,captured,upi,2026-08-07 21:00:00,144.48,26.01,,,normal
pay_demo_0053,order_demo_0053,acc_demo_004,7361.0,INR,captured,card,2026-08-08 00:00:00,147.22,26.5,,,normal
pay_demo_0054,order_demo_0054,acc_demo_005,7498.0,INR,captured,upi,2026-08-08 03:00:00,149.96,26.99,,,normal
pay_demo_0055,order_demo_0055,acc_demo_006,7635.0,INR,captured,card,2026-08-08 06:00:00,152.7,27.49,,,normal
pay_demo_0056,order_demo_0056,acc_demo_007,7772.0,INR,captured,upi,2026-08-08 09:00:00,155.44,27.98,,,normal
pay_demo_0057,order_demo_0057,acc_demo_008,7909.0,INR,captured,card,2026-08-08 12:00:00,158.18,28.47,,,normal
pay_demo_0058,order_demo_0058,acc_demo_009,8046.0,INR,captured,upi,2026-08-08 15:00:00,160.92,28.97,,,normal
pay_demo_0059,order_demo_0059,acc_demo_010,8183.0,INR,captured,card,2026-08-08 18:00:00,163.66,29.46,,,normal
pay_demo_0060,order_demo_0060,acc_demo_011,8320.0,INR,captured,upi,2026-08-08 21:00:00,166.4,29.95,,,normal
pay_demo_0061,order_demo_0061,acc_demo_012,8457.0,INR,captured,card,2026-08-09 00:00:00,169.14,30.45,,,normal
pay_demo_0062,order_demo_0062,acc_demo_013,8594.0,INR,captured,upi,2026-08-09 03:00:00,171.88,30.94,,,normal
pay_demo_0063,order_demo_0063,acc_demo_014,8731.0,INR,captured,card,2026-08-09 06:00:00,174.62,31.43,,,normal
pay_demo_0064,order_demo_0064,acc_demo_015,8868.0,INR,captured,upi,2026-08-09 09:00:00,177.36,31.92,,,normal
pay_demo_0065,order_demo_0065,acc_demo_016,9005.0,INR,captured,card,2026-08-09 12:00:00,180.1,32.42,,,normal
pay_demo_0066,order_demo_0066,acc_demo_017,9142.0,INR,captured,upi,2026-08-09 15:00:00,182.84,32.91,,,normal
pay_demo_0067,order_demo_0067,acc_demo_018,9279.0,INR,captured,card,2026-08-09 18:00:00,185.58,33.4,,,normal
pay_demo_0068,order_demo_0068,acc_demo_019,9416.0,INR,captured,upi,2026-08-09 21:00:00,188.32,33.9,,,normal
pay_demo_0069,order_demo_0069,acc_demo_020,9553.0,INR,captured,card,2026-08-10 00:00:00,191.06,34.39,,,normal
pay_demo_0070,order_demo_0070,acc_demo_021,9690.0,INR,captured,upi,2026-08-10 03:00:00,193.8,34.88,,,normal
pay_demo_0071,order_demo_0071,acc_demo_022,9827.0,INR,captured,card,2026-08-10 06:00:00,196.54,35.38,,,normal
pay_demo_0072,order_demo_0072,acc_demo_023,9964.0,INR,captured,upi,2026-08-10 09:00:00,199.28,35.87,,,normal
pay_demo_0073,order_demo_0073,acc_demo_024,201.0,INR,captured,card,2026-08-10 12:00:00,4.02,0.72,,,normal
pay_demo_0074,order_demo_0074,acc_demo_025,338.0,INR,captured,upi,2026-08-10 15:00:00,6.76,1.22,,,normal
pay_demo_0075,order_demo_0075,acc_demo_001,475.0,INR,captured,card,2026-08-10 18:00:00,9.5,1.71,,,normal
pay_demo_0076,order_demo_0076,acc_demo_002,612.0,INR,captured,upi,2026-08-10 21:00:00,12.24,2.2,,,normal
pay_demo_0077,order_demo_0077,acc_demo_003,749.0,INR,captured,card,2026-08-11 00:00:00,14.98,2.7,,,normal
pay_demo_0078,order_demo_0078,acc_demo_004,886.0,INR,captured,upi,2026-08-11 03:00:00,17.72,3.19,,,normal
pay_demo_0079,order_demo_0079,acc_demo_005,1023.0,INR,captured,card,2026-08-11 06:00:00,20.46,3.68,,,normal
pay_demo_0080,order_demo_0080,acc_demo_006,1160.0,INR,captured,upi,2026-08-11 09:00:00,23.2,4.18,,,normal
pay_demo_0081,order_demo_0081,acc_demo_007,1297.0,INR,captured,card,2026-08-11 12:00:00,25.94,4.67,,,normal
pay_demo_0082,order_demo_0082,acc_demo_008,1434.0,INR,captured,upi,2026-08-11 15:00:00,28.68,5.16,,,normal
pay_demo_0083,order_demo_0083,acc_demo_009,1571.0,INR,captured,card,2026-08-11 18:00:00,31.42,5.66,,,normal
pay_demo_0084,order_demo_0084,acc_demo_010,1708.0,INR,captured,upi,2026-08-11 21:00:00,34.16,6.15,,,normal
pay_demo_0085,order_demo_0085,acc_demo_011,1845.0,INR,captured,card,2026-08-12 00:00:00,36.9,6.64,,,normal
pay_demo_0086,order_demo_0086,acc_demo_012,1982.0,INR,captured,upi,2026-08-12 03:00:00,39.64,7.14,,,normal
pay_demo_0087,order_demo_0087,acc_demo_013,2119.0,INR,captured,card,2026-08-12 06:00:00,42.38,7.63,,,normal
pay_demo_0088,order_demo_0088,acc_demo_014,2256.0,INR,captured,upi,2026-08-12 09:00:00,45.12,8.12,,,normal
pay_demo_0089,order_demo_0089,acc_demo_015,2393.0,INR,captured,card,2026-08-12 12:00:00,47.86,8.61,,,normal
pay_demo_0090,order_demo_0090,acc_demo_016,2530.0,INR,captured,upi,2026-08-12 15:00:00,50.6,9.11,,,normal
pay_demo_0091,order_demo_0091,acc_demo_017,2667.0,INR,captured,card,2026-08-12 18:00:00,53.34,9.6,,,normal
pay_demo_0092,order_demo_0092,acc_demo_018,2804.0,INR,captured,upi,2026-08-12 21:00:00,56.08,10.09,,,normal
pay_demo_0093,order_demo_0093,acc_demo_019,2941.0,INR,captured,card,2026-08-13 00:00:00,58.82,10.59,,,normal
pay_demo_0094,order_demo_0094,acc_demo_020,3078.0,INR,captured,upi,2026-08-13 03:00:00,61.56,11.08,,,normal
pay_demo_0095,order_demo_0095,acc_demo_021,3215.0,INR,captured,card,2026-08-13 06:00:00,64.3,11.57,,,normal
pay_demo_0096,order_demo_0096,acc_demo_022,3352.0,INR,captured,upi,2026-08-13 09:00:00,67.04,12.07,,,normal
pay_demo_0097,order_demo_0097,acc_demo_023,3489.0,INR,captured,card,2026-08-13 12:00:00,69.78,12.56,,,normal
pay_demo_0098,order_demo_0098,acc_demo_024,3626.0,INR,captured,upi,2026-08-13 15:00:00,72.52,13.05,,,normal
pay_demo_0099,order_demo_0099,acc_demo_025,3763.0,INR,captured,card,2026-08-13 18:00:00,75.26,13.55,,,normal
pay_demo_0100,order_demo_0100,acc_demo_001,3900.0,INR,captured,upi,2026-08-13 21:00:00,78.0,14.04,,,normal
pay_demo_0101,order_demo_0101,acc_demo_002,4037.0,INR,captured,card,2026-08-14 00:00:00,80.74,14.53,,,normal
pay_demo_0102,order_demo_0102,acc_demo_003,4174.0,INR,captured,upi,2026-08-14 03:00:00,83.48,15.03,,,normal
pay_demo_0103,order_demo_0103,acc_demo_004,4311.0,INR,captured,card,2026-08-14 06:00:00,86.22,15.52,,,normal
pay_demo_0104,order_demo_0104,acc_demo_005,4448.0,INR,captured,upi,2026-08-14 09:00:00,88.96,16.01,,,normal
pay_demo_0105,order_demo_0105,acc_demo_006,4585.0,INR,captured,card,2026-08-14 12:00:00,91.7,16.51,,,normal
pay_demo_0106,order_demo_0106,acc_demo_007,4722.0,INR,captured,upi,2026-08-14 15:00:00,94.44,17.0,,,normal
pay_demo_0107,order_demo_0107,acc_demo_008,4859.0,INR,captured,card,2026-08-14 18:00:00,97.18,17.49,,,normal
pay_demo_0108,order_demo_0108,acc_demo_009,4996.0,INR,captured,upi,2026-08-14 21:00:00,99.92,17.99,,,normal
pay_demo_0109,order_demo_0109,acc_demo_010,5133.0,INR,captured,card,2026-08-15 00:00:00,102.66,18.48,,,normal
pay_demo_0110,order_demo_0110,acc_demo_011,5270.0,INR,captured,upi,2026-08-15 03:00:00,105.4,18.97,,,normal
pay_demo_0111,order_demo_0111,acc_demo_012,5407.0,INR,captured,card,2026-08-15 06:00:00,108.14,19.47,,,normal
pay_demo_0112,order_demo_0112,acc_demo_013,5544.0,INR,captured,upi,2026-08-15 09:00:00,110.88,19.96,,,normal
pay_demo_0113,order_demo_0113,acc_demo_014,5681.0,INR,captured,card,2026-08-15 12:00:00,113.62,20.45,,,normal
pay_demo_0114,order_demo_0114,acc_demo_015,5818.0,INR,captured,upi,2026-08-15 15:00:00,116.36,20.94,,,normal
pay_demo_0115,order_demo_0115,acc_demo_016,5955.0,INR,captured,card,2026-08-15 18:00:00,119.1,21.44,,,normal
pay_demo_0116,order_demo_0116,acc_demo_017,6092.0,INR,captured,upi,2026-08-15 21:00:00,121.84,21.93,,,normal
pay_demo_0117,order_demo_0117,acc_demo_018,6229.0,INR,captured,card,2026-08-16 00:00:00,124.58,22.42,,,normal
pay_demo_0118,order_demo_0118,acc_demo_019,6366.0,INR,captured,upi,2026-08-16 03:00:00,127.32,22.92,,,normal
pay_demo_0119,order_demo_0119,acc_demo_020,6503.0,INR,captured,card,2026-08-16 06:00:00,130.06,23.41,,,normal
pay_demo_0120,order_demo_0120,acc_demo_021,6640.0,INR,captured,upi,2026-08-16 09:00:00,132.8,23.9,,,normal
pay_demo_0121,order_demo_0121,acc_demo_022,6777.0,INR,captured,card,2026-08-16 12:00:00,135.54,24.4,,,normal
pay_demo_0122,order_demo_0122,acc_demo_023,6914.0,INR,captured,upi,2026-08-16 15:00:00,138.28,24.89,,,normal
pay_demo_0123,order_demo_0123,acc_demo_024,7051.0,INR,captured,card,2026-08-16 18:00:00,141.02,25.38,,,normal
pay_demo_0124,order_demo_0124,acc_demo_025,7188.0,INR,captured,upi,2026-08-16 21:00:00,143.76,25.88,,,normal
pay_demo_0125,order_demo_0125,acc_demo_001,7325.0,INR,captured,card,2026-08-17 00:00:00,146.5,26.37,,,normal
pay_demo_0126,order_demo_0126,acc_demo_002,7462.0,INR,captured,upi,2026-08-17 03:00:00,149.24,26.86,,,normal
pay_demo_0127,order_demo_0127,acc_demo_003,7599.0,INR,captured,card,2026-08-17 06:00:00,151.98,27.36,,,normal
pay_demo_0128,order_demo_0128,acc_demo_004,7736.0,INR,captured,upi,2026-08-17 09:00:00,154.72,27.85,,,normal
pay_demo_0129,order_demo_0129,acc_demo_005,7873.0,INR,captured,card,2026-08-17 12:00:00,157.46,28.34,,,normal
pay_demo_0130,order_demo_0130,acc_demo_006,8010.0,INR,captured,upi,2026-08-17 15:00:00,160.2,28.84,,,normal
pay_demo_0131,order_demo_0131,acc_demo_007,8147.0,INR,captured,card,2026-08-17 18:00:00,162.94,29.33,,,normal
pay_demo_0132,order_demo_0132,acc_demo_008,8284.0,INR,captured,upi,2026-08-17 21:00:00,165.68,29.82,,,normal
pay_demo_0133,order_demo_0133,acc_demo_009,8421.0,INR,captured,card,2026-08-18 00:00:00,168.42,30.32,,,normal
pay_demo_0134,order_demo_0134,acc_demo_010,8558.0,INR,captured,upi,2026-08-18 03:00:00,171.16,30.81,,,normal
pay_demo_0135,order_demo_0135,acc_demo_011,8695.0,INR,captured,card,2026-08-18 06:00:00,173.9,31.3,,,normal
pay_demo_0136,order_demo_0136,acc_demo_012,8832.0,INR,captured,upi,2026-08-18 09:00:00,176.64,31.8,,,normal
pay_demo_0137,order_demo_0137,acc_demo_013,8969.0,INR,captured,card,2026-08-18 12:00:00,179.38,32.29,,,normal
pay_demo_0138,order_demo_0138,acc_demo_014,9106.0,INR,captured,upi,2026-08-18 15:00:00,182.12,32.78,,,normal
pay_demo_0139,order_demo_0139,acc_demo_015,9243.0,INR,captured,card,2026-08-18 18:00:00,184.86,33.27,,,normal
pay_demo_0140,order_demo_0140,acc_demo_016,9380.0,INR,captured,upi,2026-08-18 21:00:00,187.6,33.77,,,normal
pay_demo_0141,order_demo_0141,acc_demo_017,9517.0,INR,captured,card,2026-08-19 00:00:00,190.34,34.26,,,normal
pay_demo_0142,order_demo_0142,acc_demo_018,9654.0,INR,captured,upi,2026-08-19 03:00:00,193.08,34.75,,,normal
pay_demo_0143,order_demo_0143,acc_demo_019,9791.0,INR,captured,card,2026-08-19 06:00:00,195.82,35.25,,,normal
pay_demo_0144,order_demo_0144,acc_demo_020,9928.0,INR,captured,upi,2026-08-19 09:00:00,198.56,35.74,,,normal
pay_demo_0145,order_demo_0145,acc_demo_021,165.0,INR,captured,card,2026-08-19 12:00:00,3.3,0.59,,,normal
pay_demo_0146,order_demo_0146,acc_demo_022,302.0,INR,captured,upi,2026-08-19 15:00:00,6.04,1.09,,,normal
pay_demo_0147,order_demo_0147,acc_demo_023,439.0,INR,captured,card,2026-08-19 18:00:00,8.78,1.58,,,normal
pay_demo_0148,order_demo_0148,acc_demo_024,576.0,INR,captured,upi,2026-08-19 21:00:00,11.52,2.07,,,normal
pay_demo_0149,order_demo_0149,acc_demo_025,713.0,INR,captured,card,2026-08-20 00:00:00,14.26,2.57,,,normal
pay_demo_0150,order_demo_0150,acc_demo_001,850.0,INR,captured,upi,2026-08-20 03:00:00,17.0,3.06,,,normal
pay_demo_0151,order_demo_0151,acc_demo_002,987.0,INR,captured,card,2026-08-20 06:00:00,19.74,3.55,,,normal
pay_demo_0152,order_demo_0152,acc_demo_003,1124.0,INR,captured,upi,2026-08-20 09:00:00,22.48,4.05,,,normal
pay_demo_0153,order_demo_0153,acc_demo_004,1261.0,INR,captured,card,2026-08-20 12:00:00,25.22,4.54,,,normal
pay_demo_0154,order_demo_0154,acc_demo_005,1398.0,INR,captured,upi,2026-08-20 15:00:00,27.96,5.03,,,normal
pay_demo_0155,order_demo_0155,acc_demo_006,1535.0,INR,captured,card,2026-08-20 18:00:00,30.7,5.53,,,normal
pay_demo_0156,order_demo_0156,acc_demo_007,1672.0,INR,captured,upi,2026-08-20 21:00:00,33.44,6.02,,,normal
pay_demo_0157,order_demo_0157,acc_demo_008,1809.0,INR,captured,card,2026-08-21 00:00:00,36.18,6.51,,,normal
pay_demo_0158,order_demo_0158,acc_demo_009,1946.0,INR,captured,upi,2026-08-21 03:00:00,38.92,7.01,,,normal
pay_demo_0159,order_demo_0159,acc_demo_010,2083.0,INR,captured,card,2026-08-21 06:00:00,41.66,7.5,,,normal
pay_demo_0160,order_demo_0160,acc_demo_011,2220.0,INR,captured,upi,2026-08-21 09:00:00,44.4,7.99,,,normal
pay_demo_0161,order_demo_0161,acc_demo_012,2357.0,INR,captured,card,2026-08-21 12:00:00,47.14,8.49,,,normal
pay_demo_0162,order_demo_0162,acc_demo_013,2494.0,INR,captured,upi,2026-08-21 15:00:00,49.88,8.98,,,normal
pay_demo_0163,order_demo_0163,acc_demo_014,2631.0,INR,captured,card,2026-08-21 18:00:00,52.62,9.47,,,normal
pay_demo_0164,order_demo_0164,acc_demo_015,2768.0,INR,captured,upi,2026-08-21 21:00:00,55.36,9.96,,,normal
pay_demo_0165,order_demo_0165,acc_demo_016,2905.0,INR,captured,card,2026-08-22 00:00:00,58.1,10.46,,,normal
pay_demo_0166,order_demo_0166,acc_demo_017,3042.0,INR,captured,upi,2026-08-22 03:00:00,60.84,10.95,,,normal
pay_demo_0167,order_demo_0167,acc_demo_018,3179.0,INR,captured,card,2026-08-22 06:00:00,63.58,11.44,,,normal
pay_demo_0168,order_demo_0168,acc_demo_019,3316.0,INR,captured,upi,2026-08-22 09:00:00,66.32,11.94,,,normal
pay_demo_0169,order_demo_0169,acc_demo_020,3453.0,INR,captured,card,2026-08-22 12:00:00,69.06,12.43,,,normal
pay_demo_0170,order_demo_0170,acc_demo_021,3590.0,INR,captured,upi,2026-08-22 15:00:00,71.8,12.92,,,normal
pay_demo_0171,order_demo_0171,acc_demo_022,3727.0,INR,captured,card,2026-08-22 18:00:00,74.54,13.42,,,normal
pay_demo_0172,order_demo_0172,acc_demo_023,3864.0,INR,captured,upi,2026-08-22 21:00:00,77.28,13.91,,,normal
pay_demo_0173,order_demo_0173,acc_demo_024,4001.0,INR,captured,card,2026-08-23 00:00:00,80.02,14.4,,,normal
pay_demo_0174,order_demo_0174,acc_demo_025,4138.0,INR,captured,upi,2026-08-23 03:00:00,82.76,14.9,,,normal
pay_demo_0175,order_demo_0175,acc_demo_001,4275.0,INR,captured,card,2026-08-23 06:00:00,85.5,15.39,,,normal
pay_demo_0176,order_demo_0176,acc_demo_002,4412.0,INR,captured,upi,2026-08-23 09:00:00,88.24,15.88,,,normal
pay_demo_0177,order_demo_0177,acc_demo_003,4549.0,INR,captured,card,2026-08-23 12:00:00,90.98,16.38,,,normal
pay_demo_0178,order_demo_0178,acc_demo_004,4686.0,INR,captured,upi,2026-08-23 15:00:00,93.72,16.87,,,normal
pay_demo_0179,order_demo_0179,acc_demo_005,4823.0,INR,captured,card,2026-08-23 18:00:00,96.46,17.36,,,normal
pay_demo_0180,order_demo_0180,acc_demo_006,4960.0,INR,captured,upi,2026-08-23 21:00:00,99.2,17.86,,,normal
pay_demo_0181,order_demo_0181,acc_demo_007,5097.0,INR,captured,card,2026-08-24 00:00:00,101.94,18.35,,,normal
pay_demo_0182,order_demo_0182,acc_demo_008,5234.0,INR,captured,upi,2026-08-24 03:00:00,104.68,18.84,,,normal
pay_demo_0183,order_demo_0183,acc_demo_009,5371.0,INR,captured,card,2026-08-24 06:00:00,107.42,19.34,,,normal
pay_demo_0184,order_demo_0184,acc_demo_010,5508.0,INR,captured,upi,2026-08-24 09:00:00,110.16,19.83,,,normal
pay_demo_0185,order_demo_0185,acc_demo_011,5645.0,INR,captured,card,2026-08-24 12:00:00,112.9,20.32,,,normal
pay_demo_0186,order_demo_0186,acc_demo_012,5782.0,INR,captured,upi,2026-08-24 15:00:00,115.64,20.82,,,normal
pay_demo_0187,order_demo_0187,acc_demo_013,5919.0,INR,captured,card,2026-08-24 18:00:00,118.38,21.31,,,normal
pay_demo_0188,order_demo_0188,acc_demo_014,6056.0,INR,captured,upi,2026-08-24 21:00:00,121.12,21.8,,,normal
pay_demo_0189,order_demo_0189,acc_demo_015,6193.0,INR,captured,card,2026-08-25 00:00:00,123.86,22.29,,,normal
pay_demo_0190,order_demo_0190,acc_demo_016,6330.0,INR,captured,upi,2026-08-25 03:00:00,126.6,22.79,,,normal
pay_demo_0191,order_demo_0191,acc_demo_017,6467.0,INR,captured,card,2026-08-25 06:00:00,129.34,23.28,,,normal
pay_demo_0192,order_demo_0192,acc_demo_018,6604.0,INR,captured,upi,2026-08-25 09:00:00,132.08,23.77,,,normal
pay_demo_0193,order_demo_0193,acc_demo_019,6741.0,INR,captured,card,2026-08-25 12:00:00,134.82,24.27,,,normal
pay_demo_0194,order_demo_0194,acc_demo_020,6878.0,INR,captured,upi,2026-08-25 15:00:00,137.56,24.76,,,normal
pay_demo_0195,order_demo_0195,acc_demo_021,7015.0,INR,captured,card,2026-08-25 18:00:00,140.3,25.25,,,normal
pay_demo_0196,order_demo_0196,acc_demo_022,7152.0,INR,captured,upi,2026-08-25 21:00:00,143.04,25.75,,,normal
pay_demo_0197,order_demo_0197,acc_demo_023,7289.0,INR,captured,card,2026-08-26 00:00:00,145.78,26.24,,,normal
pay_demo_0198,order_demo_0198,acc_demo_024,7426.0,INR,captured,upi,2026-08-26 03:00:00,148.52,26.73,,,normal
pay_demo_0199,order_demo_0199,acc_demo_025,7563.0,INR,captured,card,2026-08-26 06:00:00,151.26,27.23,,,normal
pay_demo_0200,order_demo_0200,acc_demo_001,7700.0,INR,captured,upi,2026-08-26 09:00:00,154.0,27.72,,,normal
